,Interest Score,HST,SPY,XTN,sentiment,total_cases,new_cases,total_deaths,new_deaths,S&P 500 Daily Movement
2020-07-29,72,0.04752851504212674,0.012298725050001957,0.009380212364348273,neutral,4431286.0,71873.0,151700.0,1411.0,pos
2020-07-30,72,-0.01633396530841069,-0.0035679247032814887,-0.005284273139269935,neutral,4498752.0,67466.0,152935.0,1235.0,neg
2020-07-31,72,-0.00553509398266705,0.007902202821698623,-0.0016486563901140228,negative,4567464.0,68712.0,154172.0,1237.0,pos
2020-08-03,63,-0.0435991952687137,0.006952160993595191,0.0022018152639406985,neutral,4714734.0,45501.0,156279.0,583.0,pos
2020-08-04,63,0.058195868416629715,0.003862614375942597,0.014280531110351324,neutral,4773508.0,58774.0,157561.0,1282.0,pos
2020-08-05,63,-0.0018331351392364414,0.0062109550025213345,0.014620894156751607,negative,4827974.0,54466.0,159000.0,1439.0,pos
2020-08-06,63,-0.011937567524561876,0.006684536203731106,0.0065825076073384725,neutral,4887323.0,59349.0,160239.0,1239.0,pos
2020-08-07,63,0.0687732114662849,0.0007179157167860328,0.014492747760466607,neutral,4946626.0,59303.0,161480.0,1241.0,pos
2020-08-10,55,0.03304348821225367,0.0029889110742402636,0.03031355082778253,neutral,5094135.0,47606.0,163713.0,634.0,pos
2020-08-11,55,-0.017676770717510726,-0.008254669579494611,0.005241822395846585,neutral,5142138.0,48003.0,164738.0,1025.0,neg
2020-08-12,55,-0.008569012923390074,0.013942352219447729,0.0031959398531653527,neutral,5198178.0,56040.0,166243.0,1505.0,pos
2020-08-13,55,-0.02592906179545973,-0.001807775796370037,-0.010395689775818062,neutral,5249494.0,51316.0,167307.0,1064.0,neg
2020-08-14,55,-0.0017746634384467885,2.9717560858788516e-05,0.0011860334510556125,neutral,5314830.0,65336.0,168644.0,1337.0,pos
2020-08-17,52,-0.0319999694824219,0.0031766041320859806,-0.00947709209417713,neutral,5437645.0,36652.0,170753.0,493.0,pos
2020-08-18,52,-0.010101065829535072,0.002160371040858866,-0.0056381005166559195,neutral,5482678.0,45033.0,171979.0,1226.0,pos
2020-08-19,52,0.00092766503984687,-0.0041637243123001655,0.004982833534806552,neutral,5529998.0,47320.0,173316.0,1337.0,neg
2020-08-20,52,-0.004633937989956816,0.0031135656933312106,0.003248394960790879,neutral,5574039.0,44041.0,174420.0,1104.0,pos
2020-08-21,52,-0.013035325198509029,0.0035473933172565086,0.0005112266383922037,neutral,5622882.0,48843.0,175508.0,1088.0,pos
2020-08-24,45,0.0462263918381316,0.010133151673383134,0.022653753224234574,negative,5736675.0,36482.0,177439.0,475.0,pos
2020-08-25,45,0.01893598153810383,0.0034993049179556923,-0.0026648874912114096,neutral,5777029.0,40354.0,178669.0,1230.0,pos
2020-08-26,45,-0.025663713005138256,0.010025608090155735,-0.0010020269241939328,neutral,5822201.0,45172.0,179831.0,1162.0,pos
2020-08-27,45,0.029064458507892077,0.002186550139632537,0.01337344100872273,negative,5867594.0,45393.0,180946.0,1115.0,pos
2020-08-28,45,0.03177402110339034,0.006459392204906322,0.013691881321002963,negative,5914426.0,46832.0,181924.0,978.0,pos
2020-08-31,49,-0.03934987636089293,-0.0036225371165335973,-0.015297028962335979,neutral,6026946.0,35362.0,183821.0,541.0,neg
2020-09-01,49,0.00445237691656275,0.009418592562241201,0.00842839448648558,negative,6068792.0,41846.0,184850.0,1029.0,pos
2020-09-02,49,0.012411378247956462,0.01446399890877581,0.0108161232786117,neutral,6109810.0,41018.0,185923.0,1073.0,pos
2020-09-03,49,0.013134817646949681,-0.03441430567094561,-0.021562934897441655,neutral,6154061.0,44251.0,186954.0,1031.0,neg
2020-09-04,49,0.03197924765068061,-0.00816470426074467,0.004639645419613592,neutral,6204443.0,50382.0,187911.0,957.0,neg
2020-09-08,44,-0.025125565125934113,-0.027322928654060497,-0.004618218523195661,neutral,6329658.0,27226.0,189895.0,455.0,neg
2020-09-09,44,0.0008590442364768691,0.019747358298320528,0.008947819870433138,neutral,6363707.0,34049.0,191056.0,1161.0,pos
2020-09-10,44,-0.021459228170476075,-0.017363647394312287,-0.004926904911606078,negative,6399763.0,36056.0,191975.0,919.0,neg
2020-09-11,44,-0.02368416781790772,0.0005090985135784987,0.0001650160341313267,negative,6447532.0,47769.0,193139.0,1164.0,pos
2020-09-14,41,0.07097933097305376,0.013171268420765214,0.006765674220061246,neutral,6557428.0,34423.0,194705.0,432.0,pos
2020-09-15,41,0.008389293693764621,0.0050523607393142544,0.007211972684991075,neutral,6596920.0,39492.0,195903.0,1198.0,pos
2020-09-16,41,0.0033277837212719596,-0.003968621719216969,0.0063466132596641245,neutral,6635950.0,39030.0,196865.0,962.0,neg
2020-09-17,41,-0.03399674849260548,-0.008795262741012055,-0.0019404743141764325,negative,6681080.0,45130.0,197723.0,858.0,neg
2020-09-18,41,-0.04291845634095204,-0.015453794955930578,-0.018956609859076212,negative,6730362.0,49282.0,198614.0,891.0,neg
2020-09-21,42,-0.05919281345223104,-0.011129571279935746,-0.038976063420114615,negative,6862889.0,51878.0,200037.0,425.0,neg
2020-09-22,42,-0.008579614351916898,0.010184379483847206,0.002749610778280287,neutral,6902755.0,39866.0,201066.0,1029.0,pos
2020-09-23,42,-0.015384601277006582,-0.023190958000678163,-0.014567240725774422,neutral,6941824.0,39069.0,202122.0,1056.0,neg
2020-09-24,42,-0.004882831235591301,0.002665464023424269,-0.003999992038892675,neutral,6988927.0,47103.0,203022.0,900.0,pos
2020-09-25,42,0.044161018790005224,0.016166958226671246,0.011698937726383196,neutral,7037222.0,48295.0,203962.0,940.0,pos
2020-09-28,54,0.02725563463304015,0.016609348926481804,0.023127376326346427,negative,7152717.0,33294.0,205404.0,358.0,pos
2020-09-29,54,-0.01829833095656408,-0.005446025646855923,-0.015856927227827056,neutral,7196055.0,43338.0,206240.0,836.0,neg
2020-09-30,54,0.005591838040674757,0.007581970599847665,-0.003256747106822888,neutral,7235498.0,39443.0,207198.0,958.0,pos
2020-10-01,54,0.03243747754468185,0.006420000007290261,0.004815112157344759,neutral,7281148.0,45650.0,208067.0,869.0,pos
2020-10-02,54,0.013464956365121017,-0.009494458004693396,0.01625878415159443,neutral,7336098.0,54950.0,208927.0,860.0,neg
2020-10-05,56,0.007971669875286524,0.017733086187020408,0.01178849360639922,negative,7459789.0,39376.0,210468.0,481.0,pos
2020-10-06,56,-0.007029870202245103,-0.014215967009112207,-0.012150521549356252,negative,7505078.0,45289.0,211154.0,686.0,neg
2020-10-07,56,0.027433580593791307,0.017406673685050666,0.023925897559403442,neutral,7556134.0,51056.0,212077.0,923.0,pos
2020-10-08,56,0.020671897664910732,0.008862510057295214,0.012835260382118685,neutral,7614733.0,58599.0,213066.0,989.0,pos
2020-10-09,56,-0.022784848022948667,0.00893015107080064,0.004711631504825897,neutral,7671117.0,56384.0,214035.0,969.0,pos
2020-10-12,48,-0.007772033953441282,0.016087606959996226,-0.002425639157645265,neutral,7813825.0,41774.0,215554.0,397.0,pos
2020-10-13,48,-0.027850278607366552,-0.006526084160733192,-0.010374443246807696,neutral,7866056.0,52231.0,216355.0,801.0,neg
2020-10-14,48,-0.01969563702114152,-0.006283415235342593,0.008517616122229343,neutral,7925834.0,59778.0,217342.0,987.0,neg
2020-10-15,48,0.006392753398891005,-0.0012358597557926565,0.004060419055370135,neutral,7990714.0,64880.0,218184.0,842.0,neg
2020-10-16,48,-0.006352145697890554,-0.0006042919570593552,-0.01099968147092556,neutral,8059861.0,69147.0,219132.0,948.0,neg
2020-10-19,52,-0.025570752314924672,-0.015203428401004304,-0.00981351782974793,neutral,8233704.0,67717.0,220868.0,488.0,neg
2020-10-20,52,0.010309246100348002,0.004005716435394158,0.018665299575972627,neutral,8295660.0,61956.0,221791.0,923.0,pos
2020-10-21,52,0.02411876023397408,-0.0018929287880528056,-0.01037780782634623,negative,8358961.0,63301.0,222910.0,1119.0,neg
2020-10-22,52,0.039855034592721994,0.005485292518808249,0.026052763958554603,neutral,8435271.0,76310.0,223804.0,894.0,pos
2020-10-23,52,0.013937352566762984,0.003395181444149742,0.006228032518375892,neutral,8517204.0,81933.0,224769.0,965.0,pos
2020-10-26,56,-0.038659858218783816,-0.018479912526513598,-0.03126483825556026,neutral,8729485.0,67310.0,226715.0,533.0,neg
2020-10-27,56,-0.029490610909812975,-0.0034474008581141247,-0.019823051545283632,negative,8806323.0,76838.0,227689.0,974.0,neg
2020-10-28,56,-0.03775320997915699,-0.03417892944495127,-0.039779391530619934,neutral,8885749.0,79426.0,228723.0,1034.0,neg
2020-10-29,56,0.00669862677284172,0.010163495031527914,0.026457796998746286,neutral,8976768.0,91019.0,229727.0,1004.0,pos
2020-10-30,56,-0.003802368230680364,-0.010424881286366094,-0.006783135791058381,neutral,9076032.0,99264.0,230786.0,1059.0,neg
2020-11-02,49,0.043893135328211486,0.011208438679286337,0.006487981391415598,neutral,9355897.0,85211.0,232783.0,574.0,pos
2020-11-03,49,0.04021942878741869,0.017655924762989716,0.026123848949896944,neutral,9483095.0,127198.0,234358.0,1575.0,pos
