,Interest Score,HST,XTN,sentiment,Principal Component 1
2021-02-08,72,0.007042280479784058,0.02040814665045465,positive,18392584.465742305
2021-02-09,72,-0.030069951009817686,0.006928088618259887,neutral,18487911.92773556
2021-02-10,72,0.015861591120693852,0.006620824929411073,neutral,18583199.409566846
2021-02-11,72,0.03619589945768498,-0.010833169426967881,neutral,18689059.937263027
2021-02-12,72,0.020547892412475788,0.013689740463306288,neutral,18788725.391855817
2021-02-16,64,0.047651010491569945,0.006045031777532239,neutral,19057695.68526831
2021-02-17,64,0.0032030872411630273,0.0014062977324837966,neutral,19127906.749442942
2021-02-18,64,0.023627129172325123,0.0010213434084584971,neutral,19197845.663319573
2021-02-19,64,0.044291893578279895,0.027292428130347934,neutral,19277211.664540526
2021-02-22,70,-0.0029868122905719607,0.011669705479808945,neutral,19462125.602330446
2021-02-23,70,-0.0059916344080196415,0.006626591357016487,negative,19534514.948539812
2021-02-24,70,0.031946997092874296,0.016335535623869246,neutral,19609316.847683765
2021-02-25,70,-0.044392534557601504,-0.023629616838220513,positive,19686863.905051284
2021-02-26,70,0.014058651201443118,-0.0012284824600317101,neutral,19764233.171596885
