,Interest Score,HST,SPY,XTN,sentiment,Principal Component 1,S&P 500 Daily Movement
2020-07-10,79,0.03139865999233793,0.01021054585285941,0.028702641564799736,neutral,-5580662.487288363,pos
2020-07-13,85,-0.0018450606533337854,-0.008658962913536516,-0.014322854670886231,neutral,-5403343.33323972,neg
2020-07-14,85,-0.019408506845654205,0.012959017714715637,0.014530979782537035,neutral,-5335233.9364150595,pos
2020-07-15,85,0.0951932386016816,0.009187233639839087,0.042782796197308626,neutral,-5267137.93131606,pos
2020-07-16,85,-0.031841642788560165,-0.0032934520381920906,-0.006600120184055425,neutral,-5191222.060573078,neg
2020-07-17,85,-0.021333312988281228,0.0028990699554503063,0.008978272801755782,neutral,-5119002.793932889,pos
2020-07-20,73,-0.03723885911796643,0.008081580547216305,-0.01672893129885522,neutral,-4933958.589557636,pos
2020-07-21,73,0.02735848598269741,0.0021275358467678362,0.005429850444534701,neutral,-4869475.847921889,pos
2020-07-22,73,-0.0018365892684232277,0.005692057260856531,-0.00774077967743525,neutral,-4798851.860115488,pos
2020-07-23,73,-0.012879516540634572,-0.011931695745166393,0.001632803961028939,neutral,-4730412.1483324915,neg
2020-07-24,73,-0.021435186584210397,-0.006440384652273368,-0.00978085354975522,neutral,-4657057.58431267,neg
2020-07-27,72,-0.017142886207217267,0.0072924342504456785,0.005121686544214965,neutral,-4480586.2260754295,pos
2020-07-28,72,0.019379919462571227,-0.006342391514221224,-0.010555083221142847,neutral,-4414106.506018966,neg
2020-07-29,72,0.04752851504212674,0.012298725050001957,0.009380212364348273,neutral,-4342189.667264101,pos
2020-07-30,72,-0.01633396530841069,-0.0035679247032814887,-0.005284273139269935,neutral,-4274739.58948482,neg
2020-07-31,72,-0.00553509398266705,0.007902202821698623,-0.0016486563901140228,negative,-4206010.610547503,pos
2020-08-03,63,-0.0435991952687137,0.006952160993595191,0.0022018152639406985,neutral,-4058863.7588229887,pos
2020-08-04,63,0.058195868416629715,0.003862614375942597,0.014280531110351324,neutral,-4000000.457374903,pos
2020-08-05,63,-0.0018331351392364414,0.0062109550025213345,0.014620894156751607,negative,-3945544.932687026,pos
2020-08-06,63,-0.011937567524561876,0.006684536203731106,0.0065825076073384725,neutral,-3886156.4452466494,pos
2020-08-07,63,0.0687732114662849,0.0007179157167860328,0.014492747760466607,neutral,-3826842.6987526454,pos
2020-08-10,55,0.03304348821225367,0.0029889110742402636,0.03031355082778253,neutral,-3679387.6937904432,pos
2020-08-11,55,-0.017676770717510726,-0.008254669579494611,0.005241822395846585,neutral,-3631373.1157750874,neg
2020-08-12,55,-0.008569012923390074,0.013942352219447729,0.0031959398531653527,neutral,-3575270.6543910224,pos
2020-08-13,55,-0.02592906179545973,-0.001807775796370037,-0.010395689775818062,neutral,-3523972.9036668334,neg
2020-08-14,55,-0.0017746634384467885,2.9717560858788516e-05,0.0011860334510556125,neutral,-3458543.308031819,pos
2020-08-17,52,-0.0319999694824219,0.0031766041320859806,-0.00947709209417713,neutral,-3335880.1527902987,pos
2020-08-18,52,-0.010101065829535072,0.002160371040858866,-0.0056381005166559195,neutral,-3290785.448338344,pos
2020-08-19,52,0.00092766503984687,-0.0041637243123001655,0.004982833534806552,neutral,-3243438.0042586974,neg
2020-08-20,52,-0.004633937989956816,0.0031135656933312106,0.003248394960790879,neutral,-3199405.2167020156,pos
2020-08-21,52,-0.013035325198509029,0.0035473933172565086,0.0005112266383922037,neutral,-3150524.089761868,pos
2020-08-24,45,0.0462263918381316,0.010133151673383134,0.022653753224234574,negative,-3036789.074541634,pos
2020-08-25,45,0.01893598153810383,0.0034993049179556923,-0.0026648874912114096,neutral,-2996399.0237285984,pos
2020-08-26,45,-0.025663713005138256,0.010025608090155735,-0.0010020269241939328,neutral,-2951187.1900541293,pos
2020-08-27,45,0.029064458507892077,0.002186550139632537,0.01337344100872273,negative,-2905781.954676326,pos
2020-08-28,45,0.03177402110339034,0.006459392204906322,0.013691881321002963,negative,-2858932.891542727,pos
2020-08-31,49,-0.03934987636089293,-0.0036225371165335973,-0.015297028962335979,neutral,-2746466.0062755113,neg
2020-09-01,49,0.00445237691656275,0.009418592562241201,0.00842839448648558,negative,-2704571.9810759155,pos
2020-09-02,49,0.012411378247956462,0.01446399890877581,0.0108161232786117,neutral,-2663547.923634614,pos
2020-09-03,49,0.013134817646949681,-0.03441430567094561,-0.021562934897441655,neutral,-2619268.2212106283,neg
2020-09-04,49,0.03197924765068061,-0.00816470426074467,0.004639645419613592,neutral,-2568842.5374419135,neg
2020-09-08,44,-0.025125565125934113,-0.027322928654060497,-0.004618218523195661,neutral,-2443749.2882417445,neg
2020-09-09,44,0.0008590442364768691,0.019747358298320528,0.008947819870433138,neutral,-2409647.2141993484,pos
2020-09-10,44,-0.021459228170476075,-0.017363647394312287,-0.004926904911606078,negative,-2373570.304533931,neg
2020-09-11,44,-0.02368416781790772,0.0005090985135784987,0.0001650160341313267,negative,-2325721.4838505425,pos
2020-09-14,41,0.07097933097305376,0.013171268420765214,0.006765674220061246,neutral,-2215894.2768963245,pos
2020-09-15,41,0.008389293693764621,0.0050523607393142544,0.007211972684991075,neutral,-2176359.6057295552,pos
2020-09-16,41,0.0033277837212719596,-0.003968621719216969,0.0063466132596641245,neutral,-2137322.8594258674,neg
2020-09-17,41,-0.03399674849260548,-0.008795262741012055,-0.0019404743141764325,negative,-2092150.1683666222,neg
2020-09-18,41,-0.04291845634095204,-0.015453794955930578,-0.018956609859076212,negative,-2042836.8963404677,neg
2020-09-21,42,-0.05919281345223104,-0.011129571279935746,-0.038976063420114615,negative,-1910290.7372675003,neg
2020-09-22,42,-0.008579614351916898,0.010184379483847206,0.002749610778280287,neutral,-1870484.4859570297,pos
2020-09-23,42,-0.015384601277006582,-0.023190958000678163,-0.014567240725774422,neutral,-1831409.2481675,neg
2020-09-24,42,-0.004882831235591301,0.002665464023424269,-0.003999992038892675,neutral,-1784251.8861420266,pos
2020-09-25,42,0.044161018790005224,0.016166958226671246,0.011698937726383196,neutral,-1735942.0262777908,pos
2020-09-28,54,0.02725563463304015,0.016609348926481804,0.023127376326346427,negative,-1620528.1119891247,pos
2020-09-29,54,-0.01829833095656408,-0.005446025646855923,-0.015856927227827056,neutral,-1577124.4324101303,neg
2020-09-30,54,0.005591838040674757,0.007581970599847665,-0.003256747106822888,neutral,-1537694.8283666773,pos
2020-10-01,54,0.03243747754468185,0.006420000007290261,0.004815112157344759,neutral,-1492001.412686934,pos
2020-10-02,54,0.013464956365121017,-0.009494458004693396,0.01625878415159443,neutral,-1436991.2991988414,neg
2020-10-05,56,0.007971669875286524,0.017733086187020408,0.01178849360639922,negative,-1313384.2993300701,pos
2020-10-06,56,-0.007029870202245103,-0.014215967009112207,-0.012150521549356252,negative,-1268056.319674288,neg
